Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
,,,0,Нет старого прайса,Нет скидки,
Проектирование информационных систем. Основы управления проектами. Лабораторный практикум,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань.Компьютеры и программное обеспечение,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Создание игровой логики. Практикум,"Капанов Алексей Александрович, Лямин Александр Сергеевич",Лань.Компьютеры и программное обеспечение,549,845,35,Ограничено
Компьютерное моделирование химико-технологических процессов в программе Aspen Plus,"Перерва Олег Валентинович, Гартман Томаш Николаевич",Лань.Компьютеры и программное обеспечение,3332,5126,35,Ограничено
Создание игровой логики. Практикум,"Капанов Алексей Александрович, Лямин Александр Сергеевич",Лань.Компьютеры и программное обеспечение,845,Нет старого прайса,Нет скидки,Ожидается
Компьютерная геометрия и графика в web-разработке. Учебное пособие,Васильев Николай Павлович,Лань.Компьютеры и программное обеспечение,1606,2471,35,Ограничено
Разработка защищенных программных средств информатизации производственных процессов предприятия,"Бабушкин Виталий Михайлович, Тумбинская Марина Владимировна",Инфра-Инженерия,1479,2276,35,На складе
Современный подход к программной архитектуре. Сложные компромиссы,Ричардс Марк и др.,Питер.Для профессионалов,3957,5073,22,На складе
OpenSSL 3. Ключ к тайнам криптографии,Хлебников Алексей,ДМК-Пресс,2722,4187,35,На складе
Julia в качестве второго языка,Энгхейм Эрик,ДМК-Пресс,3449,5306,35,На складе
Защита и укрепление Linux,Треволт Дональд А.,ДМК-Пресс,3629,5583,35,На складе
Математика на Python. Учебник,"Криволапов Сергей Яковлевич, Хрипунова Марина Борисовна",Кнорус.Бакалавриат и магистратура,2846,Нет старого прайса,Нет скидки,Ожидается
JavaScript. Рецепты для разработчиков,Скотт Адам Д. и др.,Питер.Бестселлеры O`Reilly,2539,3255,22,На складе
Искусство чистого кода. Как избавиться от сложности и упростить жизнь,Майер Кристиан,Питер.Библиотека программиста,1412,1810,22,На складе
Микросервисы. От архитектуры до релиза,"Митра Ронни, Надареишвили Иракли",Питер.Бестселлеры O`Reilly,2121,2719,22,На складе
PHP и MYSQL. Серверная веб-разработка,Дакетт Джон,Бомбора.Мировой компьютерный бестселлер,2590,3548,27,Предзаказ. Июль
Алгоритмы и структуры данных на Python.  Учебное пособие,Чернышев Станислав Андреевич,Кнорус.Бакалавриат,2644,Нет старого прайса,Нет скидки,Ожидается
,,,0,Нет старого прайса,Нет скидки,
"97 вещей, о которых должен знать каждый Java-программист","Хенни Кевлин, Триша Джи",Бомбора.Мировой компьютерный бестселлер,1013,1388,27,На складе
Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков,Янка Таня,Бомбора.КиберБез. Лучшие книги о безопасности в сети,1117,1530,27,На складе
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,Прометей,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Level up! Руководство по созданию классных видеоигр,Роджерс Скотт,Бомбора.Мировой компьютерный бестселлер,1499,2053,27,На складе
Современный С++. Безопасное использование,Лакос Джон и др.,ДМК-Пресс,4900,7539,35,На складе
Модернизация Java Enterprise. Облачные технологии для разработчиков,"Эйзеле Маркус, Винто Натале",Питер.Бестселлеры O`Reilly,2114,2710,22,На складе
Практикум по информатике. Основы алгоритмизации и программирования,Колокольникова Алла Ивановна,Директмедиа Паблишинг,2186,Нет старого прайса,Нет скидки,Ожидается
